Year,Maximum Temperature,Station,Month & Date,Minimum Temperature,Station,Month & Date
2021,44.2,Bathinda,2021-05-30,-1.2,Faridkot,2025-12-18
2020,47.5,Bathinda,2025-05-28,-0.5,Bathinda,2025-12-31
2019,45.8,Patiala,2025-06-11,0.4,Amritsar,2025-01-14
2018,46.2,Patiala,2025-06-14,0,Amritsar,2025-12-28
2017,47.5,Amritsar,2025-06-05,0.8,Amritsar,2025-01-12
2016,44.6,Amritsar,2025-05-21,1.4,Amritsar,2025-01-24
2015,43.8,Amritsar,2025-05-25,-1,Amritsar,2025-01-28
2015,43.8,Amritsar,2025-06-08,-1,Amritsar,2025-01-28
2014,47,Amritsar,2025-06-09,0,Amritsar,2025-12-29
2013,48,Amritsar,2025-05-03,0.8,Amritsar,2025-12-30
2012,47.6,Amritsar,2025-06-01,0.4,Bathinda,2025-02-09
2011,45.2,Amritsar,2025-05-19,-0.4,Amritsar,2025-01-11
2010,47,Amritsar,2025-06-27,-1.2,Amritsar,2025-01-02
2010,47,Amritsar,2025-06-27,-1.2,Amritsar,2025-01-22
2010,47,Amritsar,2025-06-27,-1.2,Amritsar,2025-01-26
2009,45.4,Amritsar,2025-05-29,-0.9,Amritsar,2025-01-01
