Record Type,Temperature,Station,Record Date
Maximum,46.9,Amritsar,2001-05-12
Maximum,44.0,Patiala,2000-05-03
Maximum,44.3,Amritsar,1999-05-01
Maximum,46.7,Amritsar,1998-05-24
Maximum,43.7,Amritsar,1997-06-17
Maximum,44.3,Amritsar,1996-06-04
Maximum,47.8,Amritsar,1995-06-09
Minimum,-0.8,Amritsar,2001-01-10
Minimum,-0.8,Amritsar,2000-01-16
Minimum,-0.7,Amritsar,1999-12-24
Minimum,-0.7,Amritsar,1998-01-01
Minimum,-1.8,Amritsar,1997-01-13
Minimum,-3.6,Amritsar,1996-12-09
Minimum,-1.3,Amritsar,1995-01-01

